id,word,difficulty
2,阿狗阿猫,29
6,阿猫阿狗,27
23,爱富嫌贫,8
77,哀丝豪竹,29
90,安邦定国,6
91,安邦治国,7
102,安常守分,28
104,安常习故,34
109,暗斗明争,5
138,暗箭明枪,11
142,安居乐业,1
144,安良除暴,7
156,安内攘外,19
158,安贫乐道,11
160,安贫守道,15
163,岸然道貌,14
181,安身立命,2
187,暗室不欺,35
242,昂霄耸壑,24
276,鳌头独占,10
281,傲雪欺霜,22
283,聱牙佶屈,24
284,聱牙诘曲,45
285,聱牙诘屈,17
286,謷牙诘屈,48
293,巴巴结结,8
304,拔萃出类,9
305,拔萃出群,18
306,霸道横行,8
311,拔地倚天,33
325,跋扈飞扬,10
332,把酒持螯,48
337,拔类超群,20
347,八面威风,3
352,八难三灾,27
358,巴人下里,12
364,拔山扛鼎,24
365,拔山举鼎,24
377,把素持斋,47
389,八音遏密,47
443,百发百中,1
445,白发苍颜,17
467,百怪千奇,9
475,捭阖纵横,15
482,败化伤风,23
494,百计千方,4
501,败将残兵,16
503,百结愁肠,19
504,百结悬鹑,44
505,败井颓垣,24
508,白驹过隙,5
509,白驹空谷,47
512,百孔千疮,5
526,败柳残花,18
528,百虑一致,25
532,百媚千娇,18
561,白日青天,8
578,百世流芳,7
602,百顺百依,4
603,百顺千随,9
607,白叟黄童,31
608,败俗伤风,11
609,败俗伤化,24
627,摆尾摇头,9
646,白雪阳春,11
650,百依百顺,3
653,白衣苍狗,36
665,白云苍狗,8
678,百折千回,17
680,百中百发,5
696,斑驳陆离,28
710,半解一知,5
721,班门弄斧,6
757,半信半疑,3
760,半夜三更,2
761,半疑半信,4
781,帮闲钻懒,47
792,抱残守缺,11
794,抱残守阙,24
799,报仇雪耻,6
808,暴风疾雨,9
809,暴风骤雨,4
817,暴虎冯河,18
833,报李投桃,10
835,暴敛横征,8
841,宝马香车,23
852,饱食暖衣,14
855,保泰持盈,40
863,抱蔓摘瓜,42
925,悲歌击筑,32
926,悲歌慷慨,14
933,杯弓蛇影,4
941,悲欢离合,4
943,背井离乡,4
962,贝阙珠宫,18
989,背义负恩,19
991,背义忘恩,19
995,北辙南辕,9
1048,笔伐口诛,7
1073,璧合珠联,9
1074,璧合珠连,37
1091,比肩接踵,10
1103,弊绝风清,26
1125,壁垒森严,13
1130,毕力同心,19
1137,筚路褴褛,27
1182,蔽日干云,26
1183,蔽日遮天,17
1191,避实就虚,7
1211,比物连类,33
1214,婢膝奴颜,8
1218,避凶趋吉,17
1220,碧血丹心,24
1227,比翼连枝,29
1238,毕雨箕风,42
1239,闭月羞花,4
1249,弊帚千金,24
1250,敝帚千金,4
1331,表里山河,19
1346,标新领异,23
1350,别抱琵琶,18
1360,别鹤离鸾,34
1375,别类分门,6
1403,鬓乱钗横,45
1422,并蒂芙蓉,27
1441,冰肌玉骨,28
1442,并驾齐驱,5
1448,冰洁玉清,24
1456,兵连祸结,34
1470,冰清玉洁,11
1471,冰清玉润,29
1491,冰天雪窑,23
1492,冰天雪窖,21
1505,冰消瓦解,8
1511,冰心一片,23
1543,博古通今,11
1553,剥茧抽丝,22
1565,擘两分星,14
1568,拨乱反正,3
1575,薄命佳人,10
1579,剥皮抽筋,14
1596,博闻强记,11
1597,博闻强识,10
1611,拨雨撩云,35
1624,不拔一毛,5
1628,不卑不亢,3
1633,不避水火,27
1708,不分轩轾,12
1709,不分玉石,13
1710,不分皂白,9
1714,捕风捉影,4
1717,不服水土,11
1741,不苟言笑,3
1742,不古不今,35
1777,不疾不徐,17
1796,不今不古,35
1810,不咎既往,4
1837,不亢不卑,4
1888,补牢顾犬,33
1895,不劣方头,40
1902,不露锋芒,8
1903,不露圭角,17
1920,不名一钱,16
1921,不名一文,9
1927,不挠不屈,5
1938,不欺暗室,35
1955,不屈不挠,1
1958,补阙拾遗,20
1959,布裙荆钗,14
1960,不染一尘,7
2009,不识一丁,8
2017,不爽毫发,12
2038,布袜青鞋,50
2043,不问不闻,11
2044,不闻不问,9
2057,步线行针,26
2068,不省人事,10
2073,不徐不疾,21
2088,卜夜卜昼,32
2107,不易一字,26
2117,捕影系风,43
