id,word,explanation,difficulty
14,爱不释手,释放下。喜爱得舍不得放手。,1
76,碍手碍脚,碍阻碍。妨碍别人做事。,1
118,安分守己,分本分。规矩老实，守本分，不做违法的事。,1
142,安居乐业,安安定；乐喜爱，愉快；业职业。指安定愉快地生活和劳动。,1
351,拔苗助长,比喻违反事物发展的客观规律，急于求成，反而坏事。,1
443,百发百中,形容射箭或打枪准确，每次都命中目标。也比喻做事有充分把握。,1
444,白发苍苍,苍苍灰白色。头发灰白。形容人的苍老。,1
481,百花齐放,形容百花盛开，丰富多彩。比喻各种不同形式和风格的艺术自由发展。也形容艺术界的繁荣景象。,1
670,百战百胜,每战必胜。形容所向无敌。,1
711,半斤八两,八两即半斤。一个半斤，一个八两。比喻彼此一样，不相上下。,1

133,安家落户,安安置；落户指定居。到一个新地方安家，长期居住。,2
181,安身立命,安身在某处安下身来；立命精神有所寄托。指生活有着落，精神有所寄托。,2
484,百花争艳,各种花草树木竞相开放出艳丽的花朵。,2
537,白面书生,指缺乏阅历经验的读书人。也指面孔白净的读书人。,2
540,百年大计,大计长远的重要的计划。指关系到长远利益的计划或措施。,2
589,白手起家,白手空手；起家创建家业。形容在没有基础和条件很差的情况下自力更生，艰苦创业。,2
664,白玉无瑕,洁白的美玉上面没有一点羞。比喻人或事物完美无缺。,2
745,半死不活,指没有生机和活力。死又死不了，活着又受罪。,2
760,半夜三更,一夜分为五更，三更是午夜十二时。指深夜。,2
862,抱头痛哭,指十分伤心或感动，抱头大哭。,2

92,按兵不动,按止住。使军队暂不行动。现也比喻暂不开展工作。,3
140,暗箭伤人,放冷箭伤害人。比喻暗地里用某种手段伤害人。,3
166,黯然神伤,指心神悲沮的样子。,3
219,安于现状,对目前的情况习惯了，不愿改变。,3
347,八面威风,威风令人敬畏的气势。各个方面都很威风。形容神气足，声势盛。,3
407,白璧无瑕,洁白的美玉上面没有一点羞。比喻人或事物完美无缺。,3
518,百里挑一,一百个当中就挑出这一个来。形容人才出众。,3
567,白日做梦,大白天做梦。比喻根本不能实现的梦想。,3
630,百无聊赖,聊赖依赖。精神上无所寄托，感到什么都没意思。,3
650,百依百顺,依、顺顺从。什么都依从。形容一切都顺从别人。,3

51,爱莫能助,爱爱惜；莫不。虽然心中关切同情，却没有力量帮助。,4
83,爱屋及乌,因为爱一个人而连带爱他屋上的乌鸦。比喻爱一个人而连带地关心到与他有关的人或物。,4
85,爱憎分明,憎恨。爱和恨的立场和态度十分鲜明。,4
174,安如磐石,磐石大石头。如同磐石一般安然不动。形容非常稳固。,4
295,八拜之交,八拜原指古代世交子弟谒见长辈的礼节；交友谊。旧时朋友结为兄弟的关系。,4
367,跋山涉水,跋山翻过山岭；涉水用脚趟着水渡过大河。翻山越岭，趟水过河。形容走远路的艰苦。,4
385,八仙过海,相传八仙过海时不用舟船，各有一套法术。民间因有八仙过海，各显神通”的谚语◇以比喻各自拿出本领或办法，互相竞赛。,4
463,百感交集,感感想；交同时发生。各种感触交织在一起。形容感触很多，心情复杂。,4
494,百计千方,想尽或用尽一切办法。,4
602,百顺百依,形容什么都顺从。同百依百随”。,4

31,哀鸿遍野,哀鸿哀鸣的鸿雁。比喻啼饥号寒的灾民。比喻在天灾人祸中到处都是流离失所、呻吟呼号的饥民。,5
46,暧昧不明,暧昧含糊，不清楚。指不清不楚，不明不白。形容态度不明朗，关系不鲜明。,5
47,暧昧之情,行为不光明，内有不可告人的隐情。也指男女互相爱悦可能的私事。,5
73,唉声叹气,因伤感郁闷或悲痛而发出叹息的声音。,5
109,暗斗明争,暗里明里都在进行斗争。常形容尽力争权夺利。,5
155,按捺不住,按捺压抑，忍耐。心里急燥，克制不住。,5
167,黯然失色,黯然心里不舒服、情绪低落的样子；失色因惊恐而变以脸色。本指心怀不好，脸色难看◇多比喻相形之下很有差距，远远不如。,5
197,暗送秋波,旧时比喻美女的眼睛象秋天明净的水波一样。指暗中眉目传情。,5
199,按图索骥,索找；骥良马。按照画像去寻求好马。比喻墨守成规办事；也比喻按照线索去寻求。,5
232,昂首阔步,昂仰，高抬。抬起头迈开大步向前。形容精神抖擞，意气风发。,5

90,安邦定国,邦泛指国家。使国家安定巩固。,6
110,暗度陈仓,指正面迷惑敌人，而从侧翼进行突然袭击。亦比喻暗中进行活动。陈仓，古县名，在今陕西省宝鸡市东，为通向汉中的交通孔道。,6
111,暗渡陈仓,渡越过；陈仓古县名，在今陕西省宝鸡市东。比喻用造假象的手段来达到某种目的。也隐喻男女私通。,6
246,嗷嗷待哺,嗷嗷哀鸣声；待等待；哺喂食。饥饿时急于求食的样子。形容受饥饿的悲惨情景。,6
308,拔刀相助,旧小说中多指打抱不平。,6
313,八斗之才,才才华。比喻人极有才华。,6
344,八面玲珑,玲珑精巧细致，指人灵活、敏捷。本指窗户明亮轩敞◇用来形容人处世圆滑，待人接物面面俱到。,6
381,霸王别姬,姬指西楚霸王项羽的宠妾虞姬。形容英雄末路的悲壮情景。现多比喻独断专行，脱离群众，最终垮台。,6
510,败军之将,打了败仗的将领。现多用于讽刺失败的人。,6
542,百年好合,夫妻永远和好之意。,6

17,爱财如命,把钱财看得跟生命一样重要。形容极端吝啬。,7
49,挨门逐户,挨家挨户，一家也没有漏掉。,7
89,安安稳稳,形容十分安定稳当。,7
91,安邦治国,使国家安定太平。,7
97,按步就班,指按照条理或遵循一定的程序。参见按部就班”。,7
144,安良除暴,安抚善良的人，铲除强暴的人。,7
165,黯然伤神,沮丧的样子。情绪低沉，心神忧伤。,7
175,安如泰山,形容象泰山一样稳固，不可动摇。,7
224,安之若素,安安然，坦然；之代词，指人或物；素平常。安然相处，和往常一样，不觉得有什么不合适。,7
228,苍白无力,苍白灰白。形容贫弱无力。,7

19,挨冻受饿,指无衣无食的穷困境况。,8
23,爱富嫌贫,嫌弃贫穷，喜爱富有。指对人的好恶以其贫富为准。,8
48,挨门挨户,挨按照顺序。按照住户的顺序一家也不漏。同挨门逐户”。,8
96,安步当车,安安详，不慌忙；安步缓缓步行。以从容的步行代替乘车。,8
98,按部就班,部、班门类，次序；就归于。按照一定的步骤、顺序进行。也指按老规矩办事，缺乏创新精神。,8
169,安然无事,犹言平安无事。,8
171,黯然销魂,黯然心怀沮丧、面色难看的样子；销魂灵魂离开肉体。心怀沮丧得好象丢了魂似的。形容非常悲伤或愁苦。,8
203,安土重迁,土乡土；重看得重，不轻易。安于本乡本土，不愿轻易迁移。,8
259,傲慢无礼,态度傲慢，对人不讲礼节。,8
293,巴巴结结,①勉强，凑合。②勤恳；辛劳。③形容说话不流利。,8

99,安不忘危,在安全的时候不忘记危难。意思是时刻谨慎小心，提高警惕。,9
209,安闲自在,安静清闲，自由自在。形容清闲无事。,9
304,拔萃出类,同出类拔萃”。指高出众人。,9
307,拔刀相向,指动武。,9
467,百怪千奇,形容花样繁多。,9
500,百家争鸣,指各种学术流派的自由争论互相批评。也指不同意见的争论。百家，这种观点的人或各种学术派别。鸣，发表见解。,9
588,白手空拳,形容手中一无所有。,9
603,百顺千随,形容什么都顺从。同百依百随”。,9
604,百思不解,百多次；解理解。百般思索也无法理解。,9
625,百万雄师,为数众多、威武雄壮的军队。,9

13,爱不忍释,释放下。对所喜欢的物品，爱得拿在手里久久不肯放下。,10
72,哀声叹气,因伤感郁闷或悲痛而发出叹息的声音。,10
107,暗淡无光,暗淡不明亮，昏暗。形容失去光彩。,10
173,安如盘石,安安稳；盘石大石头。像盘石一样安稳不动。形容非常稳固，不可动摇。,10
190,暗室亏心,在暗中做见不得人的亏心事。,10
207,暗无天日,昏暗得看不到天上的日光。形容在反动势力统治下社会的黑暗。,10
276,鳌头独占,比喻占首位或第一名。,10
325,跋扈飞扬,指骄横放肆。,10
349,八面圆通,形容为人处事圆滑，处处应付周全。,10
539,百年不遇,一百年也碰不到一次。形容很少见到过或少有的机会。,10

12,哀兵必胜,原意是力量相当的两军对阵，悲愤的一方获得胜利◇指因受欺侮而奋起抵抗的军队，必定能取胜。,11
82,哀痛欲绝,伤心得要死。形容悲痛到了极点。,11
138,暗箭明枪,比喻各种公开的攻击和暗地里的中伤。,11
139,暗箭难防,冷箭最难防范。比喻阴谋诡计难以预防。,11
158,安贫乐道,道主张，思想。安于贫穷，以坚持自己的信念为乐。旧时士大夫所主张的为人处世之道。,11
237,昂首望天,仰起头，望着天。喻指眼光向上，作风浮泛，不肯放下架子、深入基层。,11
258,傲慢少礼,态度傲慢，对人不讲礼节。,11
260,奥妙无穷,奥深奥。指其中不易为人所知而奇妙有趣之处极多。,11
297,拔本塞源,本根本，根源。拔起树根，塞住水源。比喻防患除害要从根本上打主意。,11
399,百般奉承,用各种方式来恭维讨好人。,11

30,哀鸿遍地,哀鸿哀鸣的鸿雁。比喻啼饥号寒的灾民。比喻在天灾人祸中到处都是流离失所、呻吟呼号的饥民。,12
37,挨肩擦背,肩挨肩，背擦背。形容人多拥挤。,12
146,鞍马劳顿,顿困顿。骑马赶路过久，劳累疲困。形容旅途劳累。,12
